category	task_name	weight	policy	mode	seed	count	task_progress
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_100m	pvp	1	58	0.118966
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_100m	pvp	17590196	56	0.195536
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_100m	pvp	2	46	0.151087
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_100m	pvp	48692979	39	0.178205
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_100m	pvp	59315038	56	0.145536
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_100m	pvp	70970695	57	0.177193
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_100m	pvp	74435116	61	0.154918
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_100m	pvp	78309306	53	0.129245
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_100m	pvp	87951085	60	0.140833
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_100m	pvp	97056894	53	0.109434
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_200m	pvp	1	62	0.154839
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_200m	pvp	17590196	60	0.184167
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_200m	pvp	2	62	0.150000
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_200m	pvp	48692979	53	0.200943
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_200m	pvp	59315038	66	0.134091
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_200m	pvp	70970695	58	0.115517
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_200m	pvp	74435116	38	0.155263
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_200m	pvp	78309306	44	0.169318
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_200m	pvp	87951085	58	0.143103
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_200m	pvp	97056894	52	0.172115
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_300m	pvp	1	47	0.238298
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_300m	pvp	17590196	47	0.191489
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_300m	pvp	2	48	0.157292
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_300m	pvp	48692979	33	0.192424
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_300m	pvp	59315038	63	0.116667
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_300m	pvp	70970695	55	0.172727
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_300m	pvp	74435116	55	0.145455
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_300m	pvp	78309306	58	0.106897
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_300m	pvp	87951085	45	0.160000
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_300m	pvp	97056894	39	0.139744
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_400m	pvp	1	50	0.189000
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_400m	pvp	17590196	50	0.184000
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_400m	pvp	2	48	0.167708
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_400m	pvp	48692979	49	0.190816
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_400m	pvp	59315038	50	0.201000
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_400m	pvp	70970695	54	0.124074
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_400m	pvp	74435116	57	0.190351
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_400m	pvp	78309306	54	0.189815
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_400m	pvp	87951085	59	0.148305
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	general_400m	pvp	97056894	36	0.147222
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_100m	pvp	1	50	0.176000
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_100m	pvp	17590196	51	0.135294
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_100m	pvp	2	43	0.176744
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_100m	pvp	48692979	66	0.145455
